14:10:12.216 | Info | '/transaction/myprofile' | 
14:10:15.093 | Info | '/transaction/getcollection' | 
14:10:15.098 | Info | '/transaction/getcollection' | 
14:11:05.285 | Info | '/api/user/login' | 
14:11:05.424 | Info | '/transaction/getuserpermissions' | 
14:11:05.431 | Info | '/transaction/myprofile' | 
14:11:05.434 | Info | '/transaction/myrequests' | 
14:11:05.436 | Info | '/transaction/mycollections' | 
14:11:05.437 | Info | '/transaction/getuserpermissions' | 
14:11:05.444 | Info | '/transaction/myprofile' | 
14:11:05.447 | Info | '/transaction/myrequests' | 
14:11:05.449 | Info | '/transaction/mycollections' | 
14:11:05.453 | Info | '/transaction/myprofile' | 
14:11:05.468 | Info | '/transaction/myprofile' | 
14:11:09.708 | Info | '/transaction/getcollection' | 
14:11:09.712 | Info | '/transaction/getcollection' | 
14:11:16.096 | Info | '/transaction/postcollection' | 
14:11:16.717 | Info | '/transaction/getcollection' | 
14:11:24.049 | Info | '/transaction/postcollection' | 
14:11:24.223 | Info | '/transaction/getcollection' | 
14:11:35.621 | Info | '/transaction/postcollection' | 
14:11:35.897 | Info | '/transaction/getcollection' | 
14:11:42.851 | Info | '/transaction/postcollection' | 
14:11:43.137 | Info | '/transaction/getcollection' | 
